Date,LTL,YTD
2002-04-08,3.9303,4.001
2002-04-09,3.934,3.9991
2002-04-10,3.9404,3.999
2002-04-11,3.9242,3.999
2002-04-12,3.9257,3.999
2002-04-15,3.9217,3.999
2002-04-16,3.9222,3.999
2002-04-17,3.9225,3.999
2002-04-18,3.8884,3.999
2002-04-19,3.8821,3.9991
2002-04-22,3.8862,4.0
2002-04-23,3.888,4.0
2002-04-24,3.8916,4.0
2002-04-25,3.8827,3.9997
2002-04-26,3.8493,3.999
2002-04-29,3.8485,3.9993
2002-04-30,3.8201,3.999
2002-05-01,3.8328,3.9984
2002-05-02,3.8328,3.9984
2002-05-03,3.8223,3.999
2002-05-06,3.8011,4.0004
2002-05-07,3.7756,3.9991
2002-05-08,3.7835,3.9996
2002-05-09,3.7989,3.9995
2002-05-10,3.8097,3.9982
2002-05-13,3.7864,3.9991
2002-05-14,3.7862,3.9997
2002-05-15,3.8098,4.0005
2002-05-16,3.823,4.0011
2002-05-17,3.7843,4.0017
2002-05-20,3.7724,4.001
2002-05-21,3.7518,4.001
