Date,LVL,YTD
2001-09-20,0.61676,0.62042
2001-09-21,0.61583,0.61975
2001-09-24,0.61598,0.61896
2001-09-25,0.6172,0.61327
2001-09-26,0.61715,0.61642
2001-09-27,0.61666,0.61585
2001-09-28,0.61803,0.61505
2001-10-01,0.61921,0.61481
2001-10-02,0.61863,0.61597
2001-10-03,0.6178,0.61634
2001-10-04,0.61809,0.61782
2001-10-05,0.61917,0.61913
2001-10-08,0.6162,0.61905
2001-10-09,0.61515,0.62013
2001-10-10,0.61525,0.62036
2001-10-11,0.61679,0.61828
2001-10-12,0.61907,0.61858
2001-10-15,0.61991,0.61945
2001-10-16,0.61812,0.6191
2001-10-17,0.61997,0.62296
2001-10-18,0.62059,0.62288
2001-10-19,0.6201,0.62264
2001-10-22,0.62071,0.62478
2001-10-23,0.62248,0.62447
2001-10-24,0.6253,0.62481
2001-10-25,0.62443,0.62449
2001-10-26,0.62549,0.62598
2001-10-29,0.62428,0.62906
2001-10-30,0.62143,0.63095
2001-10-31,0.61948,0.62709
2001-11-01,0.62033,0.62897
2001-11-02,0.61856,0.62509
2001-11-05,0.61937,0.62376
2001-11-06,0.62192,0.62153
2001-11-07,0.62147,0.62271
2001-11-08,0.62026,0.6256
2001-11-09,0.62049,0.62624
2001-11-12,0.62139,0.62666
2001-11-13,0.62159,0.62447
2001-11-14,0.62429,0.62506
2001-11-15,0.62581,0.62577
2001-11-16,0.6255,0.62669
2001-11-19,0.62555,0.62749
2001-11-20,0.62777,0.62824
2001-11-21,0.62715,0.62901
2001-11-22,0.6278,0.63063
2001-11-23,0.62953,0.63115
2001-11-26,0.62877,0.63285
2001-11-27,0.62837,0.63395
2001-11-28,0.62893,0.63467
2001-11-29,0.62745,0.63123
2001-11-30,0.62507,0.62902
2001-12-03,0.62587,0.63001
2001-12-04,0.62555,0.62919
2001-12-05,0.6266,0.62405
2001-12-06,0.62619,0.62611
2001-12-07,0.62605,0.62653
2001-12-10,0.6263,0.62373
2001-12-11,0.62791,0.62462
2001-12-12,0.6264,0.62585
2001-12-13,0.62542,0.62696
2001-12-14,0.62451,0.6286
2001-12-17,0.62456,0.62665
2001-12-18,0.6236,0.62322
2001-12-19,0.6245,0.62313
2001-12-20,0.62507,0.62507
2001-12-21,0.62599,0.62225
2001-12-24,0.62742,0.62005
